manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/j.cell.2015.10.009	doi:10.1016/j.cell.2015.10.009	doi:10.1016/j.cell.2015.10.009	1SX8gKlw
doi:10.1016/j.chom.2019.08.018	doi:10.1016/j.chom.2019.08.018	doi:10.1016/j.chom.2019.08.018	fK2md3DI
doi:10.1016/j.cub.2015.04.007	doi:10.1016/j.cub.2015.04.007	doi:10.1016/j.cub.2015.04.007	86EfjHO2
doi:10.1016/j.cub.2017.10.025	doi:10.1016/j.cub.2017.10.025	doi:10.1016/j.cub.2017.10.025	XFBeyZB9
doi:10.1038/nature10549	doi:10.1038/nature10549	doi:10.1038/nature10549	1AkUQBPuG
doi:10.1038/nature12323	doi:10.1038/nature12323	doi:10.1038/nature12323	1EJZxEzq1
doi:10.1038/nature12921	doi:10.1038/nature12921	doi:10.1038/nature12921	YBHwLDej
doi:10.1038/nature13591	doi:10.1038/nature13591	doi:10.1038/nature13591	oasyTY16
doi:10.1038/nature21674	doi:10.1038/nature21674	doi:10.1038/nature21674	s3l2F2ef
doi:10.1038/nature25738	doi:10.1038/nature25738	doi:10.1038/nature25738	aSy3Srju
doi:10.1038/nature25778	doi:10.1038/nature25778	doi:10.1038/nature25778	wT5SMjro
doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	4XDvZWxk
doi:10.1038/ng.2906	doi:10.1038/ng.2906	doi:10.1038/ng.2906	10wcktDCE
doi:10.1038/nmeth.1923	doi:10.1038/nmeth.1923	doi:10.1038/nmeth.1923	PiS0h6Mu
doi:10.1038/nmeth.2375	doi:10.1038/nmeth.2375	doi:10.1038/nmeth.2375	17zUqUTNA
doi:10.1038/nprot.2014.063	doi:10.1038/nprot.2014.063	doi:10.1038/nprot.2014.063	1H3banOxK
doi:10.1038/s41467-018-07483-5	doi:10.1038/s41467-018-07483-5	doi:10.1038/s41467-018-07483-5	KlTB2lhf
doi:10.1038/s41467-019-13549-9	doi:10.1038/s41467-019-13549-9	doi:10.1038/s41467-019-13549-9	NXcxgeob
doi:10.1038/s41559-017-0446-6	doi:10.1038/s41559-017-0446-6	doi:10.1038/s41559-017-0446-6	qDQBcgzB
doi:10.1038/s41559-019-0921-3	doi:10.1038/s41559-019-0921-3	doi:10.1038/s41559-019-0921-3	6MKvilVe
doi:10.1038/s41586-018-0094-2	doi:10.1038/s41586-018-0094-2	doi:10.1038/s41586-018-0094-2	tAnEwrSn
doi:10.1038/s41586-018-0097-z	doi:10.1038/s41586-018-0097-z	doi:10.1038/s41586-018-0097-z	CNvvxsK7
doi:10.1038/s41586-018-0455-x	doi:10.1038/s41586-018-0455-x	doi:10.1038/s41586-018-0455-x	qngWumct
doi:10.1038/s41587-020-0439-x	doi:10.1038/s41587-020-0439-x	doi:10.1038/s41587-020-0439-x	wq4G2CfQ
doi:10.1038/s41592-018-0046-7	doi:10.1038/s41592-018-0046-7	doi:10.1038/s41592-018-0046-7	sYguBb3Q
doi:10.1038/s42003-019-0399-1	doi:10.1038/s42003-019-0399-1	doi:10.1038/s42003-019-0399-1	10155v3VM
doi:10.1073/pnas.0704665104	doi:10.1073/pnas.0704665104	doi:10.1073/pnas.0704665104	dbfFgAgr
doi:10.1073/pnas.1318934111	doi:10.1073/pnas.1318934111	doi:10.1073/pnas.1318934111	lh0Dclyl
doi:10.1073/pnas.1710186114	doi:10.1073/pnas.1710186114	doi:10.1073/pnas.1710186114	ZMf8LvSn
doi:10.1073/pnas.1812865115	doi:10.1073/pnas.1812865115	doi:10.1073/pnas.1812865115	1APjJqbjj
doi:10.1073/pnas.1901169116	doi:10.1073/pnas.1901169116	doi:10.1073/pnas.1901169116	7nLP30p0
doi:10.1093/bioinformatics/btp324	doi:10.1093/bioinformatics/btp324	doi:10.1093/bioinformatics/btp324	roi5bwXL
doi:10.1093/bioinformatics/btp352	doi:10.1093/bioinformatics/btp352	doi:10.1093/bioinformatics/btp352	IPc8cy7s
doi:10.1093/bioinformatics/btp698	doi:10.1093/bioinformatics/btp698	doi:10.1093/bioinformatics/btp698	1AzMUkwox
doi:10.1093/bioinformatics/btq033	doi:10.1093/bioinformatics/btq033	doi:10.1093/bioinformatics/btq033	1HWiAHnIw
doi:10.1093/bioinformatics/btr347	doi:10.1093/bioinformatics/btr347	doi:10.1093/bioinformatics/btr347	Rhiz5BNL
doi:10.1093/bioinformatics/btt193	doi:10.1093/bioinformatics/btt193	doi:10.1093/bioinformatics/btt193	14YGEdSwc
doi:10.1093/bioinformatics/btv566	doi:10.1093/bioinformatics/btv566	doi:10.1093/bioinformatics/btv566	O3E8cbBW
doi:10.1093/bioinformatics/btw354	doi:10.1093/bioinformatics/btw354	doi:10.1093/bioinformatics/btw354	U9WbDW7I
doi:10.1093/bioinformatics/bty560	doi:10.1093/bioinformatics/bty560	doi:10.1093/bioinformatics/bty560	pt9vlq4w
doi:10.1093/molbev/msz264	doi:10.1093/molbev/msz264	doi:10.1093/molbev/msz264	WIkaempF
doi:10.1098/rstb.2013.0379	doi:10.1098/rstb.2013.0379	doi:10.1098/rstb.2013.0379	M0SKmPyu
doi:10.1101/050559	doi:10.1101/050559	doi:10.1101/050559	194vI7Tnf
doi:10.1101/gr.107524.110	doi:10.1101/gr.107524.110	doi:10.1101/gr.107524.110	14nSa8zB9
doi:10.1101/gr.176552.114	doi:10.1101/gr.176552.114	doi:10.1101/gr.176552.114	18bWeJ11I
doi:10.1111/eva.12594	doi:10.1111/eva.12594	doi:10.1111/eva.12594	1001q664T
doi:10.1126/science.1224344	doi:10.1126/science.1224344	doi:10.1126/science.1224344	dHnkKsKe
doi:10.1126/science.aam9695	doi:10.1126/science.aam9695	doi:10.1126/science.aam9695	64ZHuA4N
doi:10.1146/annurev-genom-091416-035526	doi:10.1146/annurev-genom-091416-035526	doi:10.1146/annurev-genom-091416-035526	jz1XHWKM
doi:10.1186/1471-2164-13-178	doi:10.1186/1471-2164-13-178	doi:10.1186/1471-2164-13-178	WQbjOgBC
doi:10.1186/s12859-014-0356-4	doi:10.1186/s12859-014-0356-4	doi:10.1186/s12859-014-0356-4	FyiP2I2k
doi:10.1186/s13059-015-0776-0	doi:10.1186/s13059-015-0776-0	doi:10.1186/s13059-015-0776-0	5S7TlWlb
doi:10.1186/s13059-016-0918-z	doi:10.1186/s13059-016-0918-z	doi:10.1186/s13059-016-0918-z	12TkhsLGD
doi:10.1186/s13059-019-1891-0	doi:10.1186/s13059-019-1891-0	doi:10.1186/s13059-019-1891-0	wfp4mBcT
doi:10.1186/s13059-019-1903-0	doi:10.1186/s13059-019-1903-0	doi:10.1186/s13059-019-1903-0	cvMiJCKj
doi:10.1186/s13104-016-1900-2	doi:10.1186/s13104-016-1900-2	doi:10.1186/s13104-016-1900-2	L1GdB71G
doi:10.1186/s40168-019-0717-3	doi:10.1186/s40168-019-0717-3	doi:10.1186/s40168-019-0717-3	BF7nFrAi
doi:10.1371/journal.ppat.1006997	doi:10.1371/journal.ppat.1006997	doi:10.1371/journal.ppat.1006997	4YuC8sCQ
doi:10.5281/zenodo.3557708	doi:10.5281/zenodo.3557708	doi:10.5281/zenodo.3557708	1Ab7DZE7s
doi:10.7554/eLife.36666	doi:10.7554/eLife.36666	doi:10.7554/elife.36666	1HEgHFzOs
doi:10.7717/peerj.9001	doi:10.7717/peerj.9001	doi:10.7717/peerj.9001	h6xmK5cY
url:https://conda-forge.github.io	url:https://conda-forge.github.io	url:https://conda-forge.github.io	qj0Rqpq8
url:https://www.bioinformatics.babraham.ac.uk/projects/fastqc	url:https://www.bioinformatics.babraham.ac.uk/projects/fastqc	url:https://www.bioinformatics.babraham.ac.uk/projects/fastqc	R2o2aPyA
